date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,ep_ratio,u_rate
2020-01-01,15829.3,15317.6,511.7,7128.9,68.9,66.7,3.2
2020-02-01,15869.8,15344.5,525.2,7224.0,68.7,66.4,3.3
2020-03-01,15842.9,15232.4,610.5,7239.8,68.6,66.0,3.8
2020-04-01,15712.2,14933.4,778.8,7345.1,68.1,64.8,5.0
2020-05-01,15714.0,14887.9,826.1,7392.1,68.0,64.4,5.3
2020-06-01,15763.5,14990.2,773.2,7398.5,68.1,64.7,4.9
2020-07-01,15818.5,15073.4,745.1,7399.8,68.1,64.9,4.7
2020-08-01,15895.1,15153.5,741.6,7351.5,68.4,65.2,4.7
2020-09-01,15930.6,15193.1,737.5,7359.8,68.4,65.2,4.6
2020-10-01,15955.3,15207.1,748.2,7347.7,68.5,65.3,4.7
2020-11-01,15960.5,15196.1,764.4,7374.8,68.4,65.1,4.8
2020-12-01,15988.3,15215.4,772.9,7372.2,68.4,65.1,4.8
2021-01-01,16019.8,15237.3,782.5,7366.2,68.5,65.2,4.9
2021-02-01,16048.2,15270.6,777.5,7371.4,68.5,65.2,4.8
2021-03-01,16082.5,15329.3,753.2,7363.7,68.6,65.4,4.7
2021-04-01,16094.7,15352.0,742.7,7376.8,68.6,65.4,4.6
2021-05-01,16098.9,15370.8,728.1,7398.0,68.5,65.4,4.5
2021-06-01,16066.2,15297.5,768.7,7456.8,68.3,65.0,4.8
2021-07-01,16072.9,15294.8,778.2,7475.4,68.3,65.0,4.8
2021-08-01,16125.4,15376.6,748.8,7448.5,68.4,65.2,4.6
2021-09-01,16193.1,15463.5,729.6,7405.9,68.6,65.5,4.5
2021-10-01,16259.6,15554.6,705.0,7364.5,68.8,65.8,4.3
2021-11-01,16304.7,15610.3,694.4,7344.4,68.9,66.0,4.3
2021-12-01,16336.2,15648.6,687.6,7337.8,69.0,66.1,4.2
2022-01-01,16366.4,15686.1,680.4,7332.1,69.1,66.2,4.2
2022-02-01,16402.7,15730.9,671.8,7320.7,69.1,66.3,4.1
2022-03-01,16438.5,15769.4,669.2,7309.7,69.2,66.4,4.1
2022-04-01,16502.8,15853.5,649.3,7270.2,69.4,66.7,3.9
2022-05-01,16537.8,15900.0,637.7,7260.1,69.5,66.8,3.9
2022-06-01,16566.9,15936.3,630.6,7255.5,69.5,66.9,3.8
2022-07-01,16599.2,15978.4,620.7,7247.9,69.6,67.0,3.7
2022-08-01,16629.7,16017.7,612.0,7242.0,69.7,67.1,3.7
2022-09-01,16657.2,16052.2,605.0,7239.2,69.7,67.2,3.6
2022-10-01,16683.5,16081.5,602.0,7237.3,69.7,67.2,3.6
2022-11-01,16709.4,16108.6,600.9,7235.7,69.8,67.3,3.6
2022-12-01,16730.0,16130.4,599.6,7239.5,69.8,67.3,3.6
2023-01-01,16755.4,16159.3,596.1,7238.3,69.8,67.3,3.6
2023-02-01,16781.2,16189.3,591.9,7236.7,69.9,67.4,3.5
2023-03-01,16811.7,16223.0,588.7,7230.6,69.9,67.5,3.5
2023-04-01,16838.4,16251.4,586.9,7228.2,70.0,67.5,3.5
2023-05-01,16864.1,16279.5,584.6,7226.8,70.0,67.6,3.5
2023-06-01,16889.4,16307.8,581.7,7225.7,70.0,67.6,3.4
2023-07-01,16914.2,16335.0,579.2,7225.0,70.1,67.7,3.4
2023-08-01,16932.1,16354.9,577.3,7231.3,70.1,67.7,3.4
2023-09-01,16948.8,16375.1,573.7,7238.9,70.1,67.7,3.4
2023-10-01,16974.1,16403.2,570.9,7237.6,70.1,67.7,3.4
2023-11-01,17000.4,16431.1,569.2,7235.4,70.1,67.8,3.3
2023-12-01,17025.5,16457.7,567.8,7234.3,70.2,67.8,3.3
2024-01-01,17050.3,16483.0,567.3,7233.4,70.2,67.9,3.3
2024-02-01,17074.9,16507.9,567.0,7232.7,70.2,67.9,3.3
2024-03-01,17098.7,16532.2,566.6,7232.5,70.3,67.9,3.3
2024-04-01,17122.1,16555.7,566.4,7233.1,70.3,68.0,3.3
2024-05-01,17145.9,16579.9,566.1,7232.9,70.3,68.0,3.3
2024-06-01,17171.1,16605.7,565.3,7231.7,70.4,68.0,3.3
2024-07-01,17195.7,16632.0,563.7,7230.7,70.4,68.1,3.3
