date,sex,age,ethnicity,population
2022-01-01,both,80-84,other_citizen,1.3
2022-01-01,both,80-84,other_noncitizen,11.2
2022-01-01,both,85+,overall,134.5
2022-01-01,both,85+,bumi_malay,63.1
2022-01-01,both,85+,bumi_other,17.1
2022-01-01,both,85+,chinese,29.8
2022-01-01,both,85+,indian,8.2
2022-01-01,both,85+,other_citizen,1.1
2022-01-01,both,85+,other_noncitizen,15.3
2022-01-01,female,overall,overall,15658.3
2022-01-01,female,overall,bumi_malay,8602.4
2022-01-01,female,overall,bumi_other,1822.0
2022-01-01,female,overall,chinese,3372.6
2022-01-01,female,overall,indian,994.8
2022-01-01,female,overall,other_citizen,102.6
2022-01-01,female,overall,other_noncitizen,763.9
2022-01-01,female,0-4,overall,1159.3
2022-01-01,female,0-4,bumi_malay,722.9
2022-01-01,female,0-4,bumi_other,131.1
2022-01-01,female,0-4,chinese,157.7
2022-01-01,female,0-4,indian,53.7
2022-01-01,female,0-4,other_citizen,10.1
2022-01-01,female,0-4,other_noncitizen,84.0
2022-01-01,female,5-9,overall,1256.6
2022-01-01,female,5-9,bumi_malay,737.0
2022-01-01,female,5-9,bumi_other,141.5
2022-01-01,female,5-9,chinese,235.0
2022-01-01,female,5-9,indian,68.7
2022-01-01,female,5-9,other_citizen,8.3
2022-01-01,female,5-9,other_noncitizen,66.1
2022-01-01,female,10-14,overall,1258.3
2022-01-01,female,10-14,bumi_malay,713.4
2022-01-01,female,10-14,bumi_other,164.1
2022-01-01,female,10-14,chinese,261.2
2022-01-01,female,10-14,indian,80.3
2022-01-01,female,10-14,other_citizen,7.5
2022-01-01,female,10-14,other_noncitizen,31.9
2022-01-01,female,15-19,overall,1322.3
2022-01-01,female,15-19,bumi_malay,749.5
2022-01-01,female,15-19,bumi_other,171.5
2022-01-01,female,15-19,chinese,259.9
2022-01-01,female,15-19,indian,82.3
2022-01-01,female,15-19,other_citizen,7.7
2022-01-01,female,15-19,other_noncitizen,51.6
2022-01-01,female,20-24,overall,1347.2
2022-01-01,female,20-24,bumi_malay,761.6
2022-01-01,female,20-24,bumi_other,163.4
2022-01-01,female,20-24,chinese,236.2
2022-01-01,female,20-24,indian,76.5
2022-01-01,female,20-24,other_citizen,8.8
2022-01-01,female,20-24,other_noncitizen,100.7
2022-01-01,female,25-29,overall,1281.1
2022-01-01,female,25-29,bumi_malay,683.3
2022-01-01,female,25-29,bumi_other,167.5
2022-01-01,female,25-29,chinese,234.1
2022-01-01,female,25-29,indian,76.9
2022-01-01,female,25-29,other_citizen,8.7
2022-01-01,female,25-29,other_noncitizen,110.5
2022-01-01,female,30-34,overall,1321.3
2022-01-01,female,30-34,bumi_malay,724.2
2022-01-01,female,30-34,bumi_other,162.9
2022-01-01,female,30-34,chinese,257.6
2022-01-01,female,30-34,indian,83.5
2022-01-01,female,30-34,other_citizen,9.7
2022-01-01,female,30-34,other_noncitizen,83.4
2022-01-01,female,35-39,overall,1312.9
2022-01-01,female,35-39,bumi_malay,720.7
2022-01-01,female,35-39,bumi_other,151.0
2022-01-01,female,35-39,chinese,281.4
2022-01-01,female,35-39,indian,84.8
2022-01-01,female,35-39,other_citizen,9.2
2022-01-01,female,35-39,other_noncitizen,65.8
2022-01-01,female,40-44,overall,1102.5
2022-01-01,female,40-44,bumi_malay,581.9
2022-01-01,female,40-44,bumi_other,121.2
2022-01-01,female,40-44,chinese,266.6
2022-01-01,female,40-44,indian,77.4
2022-01-01,female,40-44,other_citizen,7.5
2022-01-01,female,40-44,other_noncitizen,47.9
2022-01-01,female,45-49,overall,922.0
2022-01-01,female,45-49,bumi_malay,478.3
2022-01-01,female,45-49,bumi_other,100.6
2022-01-01,female,45-49,chinese,240.4
2022-01-01,female,45-49,indian,66.5
2022-01-01,female,45-49,other_citizen,5.7
2022-01-01,female,45-49,other_noncitizen,30.6
2022-01-01,female,50-54,overall,808.0
2022-01-01,female,50-54,bumi_malay,414.4
2022-01-01,female,50-54,bumi_other,90.2
2022-01-01,female,50-54,chinese,221.7
2022-01-01,female,50-54,indian,58.4
2022-01-01,female,50-54,other_citizen,4.7
2022-01-01,female,50-54,other_noncitizen,18.7
2022-01-01,female,55-59,overall,722.8
2022-01-01,female,55-59,bumi_malay,374.1
2022-01-01,female,55-59,bumi_other,76.8
2022-01-01,female,55-59,chinese,202.3
2022-01-01,female,55-59,indian,53.9
2022-01-01,female,55-59,other_citizen,3.9
2022-01-01,female,55-59,other_noncitizen,11.8
2022-01-01,female,60-64,overall,624.6
2022-01-01,female,60-64,bumi_malay,320.8
2022-01-01,female,60-64,bumi_other,62.3
2022-01-01,female,60-64,chinese,182.3
2022-01-01,female,60-64,indian,48.4
2022-01-01,female,60-64,other_citizen,3.1
2022-01-01,female,60-64,other_noncitizen,7.5
2022-01-01,female,65-69,overall,494.1
2022-01-01,female,65-69,bumi_malay,252.1
2022-01-01,female,65-69,bumi_other,46.5
2022-01-01,female,65-69,chinese,133.5
2022-01-01,female,65-69,indian,35.6
2022-01-01,female,65-69,other_citizen,2.9
2022-01-01,female,65-69,other_noncitizen,23.5
2022-01-01,female,70-74,overall,347.0
2022-01-01,female,70-74,bumi_malay,180.6
2022-01-01,female,70-74,bumi_other,32.0
2022-01-01,female,70-74,chinese,95.8
2022-01-01,female,70-74,indian,24.7
2022-01-01,female,70-74,other_citizen,2.4
2022-01-01,female,70-74,other_noncitizen,11.6
2022-01-01,female,75-79,overall,200.8
2022-01-01,female,75-79,bumi_malay,101.6
2022-01-01,female,75-79,bumi_other,19.9
2022-01-01,female,75-79,chinese,58.5
2022-01-01,female,75-79,indian,12.9
2022-01-01,female,75-79,other_citizen,1.5
2022-01-01,female,75-79,other_noncitizen,6.4
2022-01-01,female,80-84,overall,110.2
2022-01-01,female,80-84,bumi_malay,53.1
2022-01-01,female,80-84,bumi_other,11.3
2022-01-01,female,80-84,chinese,33.8
2022-01-01,female,80-84,indian,6.1
2022-01-01,female,80-84,other_citizen,0.7
2022-01-01,female,80-84,other_noncitizen,5.2
2022-01-01,female,85+,overall,67.3
2022-01-01,female,85+,bumi_malay,32.8
2022-01-01,female,85+,bumi_other,8.3
2022-01-01,female,85+,chinese,14.6
2022-01-01,female,85+,indian,4.3
2022-01-01,female,85+,other_citizen,0.5
2022-01-01,female,85+,other_noncitizen,6.8
2022-01-01,male,overall,overall,17039.8
2022-01-01,male,overall,bumi_malay,8819.5
2022-01-01,male,overall,bumi_other,1857.8
2022-01-01,male,overall,chinese,3501.1
2022-01-01,male,overall,indian,1005.1
2022-01-01,male,overall,other_citizen,120.2
2022-01-01,male,overall,other_noncitizen,1736.1
2022-01-01,male,0-4,overall,1214.8
2022-01-01,male,0-4,bumi_malay,755.4
2022-01-01,male,0-4,bumi_other,140.2
2022-01-01,male,0-4,chinese,161.5
2022-01-01,male,0-4,indian,53.6
2022-01-01,male,0-4,other_citizen,10.9
2022-01-01,male,0-4,other_noncitizen,93.3
2022-01-01,male,5-9,overall,1336.3
2022-01-01,male,5-9,bumi_malay,781.0
2022-01-01,male,5-9,bumi_other,152.2
2022-01-01,male,5-9,chinese,247.7
2022-01-01,male,5-9,indian,72.6
2022-01-01,male,5-9,other_citizen,8.8
2022-01-01,male,5-9,other_noncitizen,73.9
2022-01-01,male,10-14,overall,1354.7
2022-01-01,male,10-14,bumi_malay,766.6
2022-01-01,male,10-14,bumi_other,171.0
2022-01-01,male,10-14,chinese,287.3
2022-01-01,male,10-14,indian,86.0
2022-01-01,male,10-14,other_citizen,8.4
2022-01-01,male,10-14,other_noncitizen,35.4
2022-01-01,male,15-19,overall,1459.6
2022-01-01,male,15-19,bumi_malay,815.1
2022-01-01,male,15-19,bumi_other,180.7
2022-01-01,male,15-19,chinese,284.1
2022-01-01,male,15-19,indian,88.4
2022-01-01,male,15-19,other_citizen,9.9
2022-01-01,male,15-19,other_noncitizen,81.3
2022-01-01,male,20-24,overall,1565.6
2022-01-01,male,20-24,bumi_malay,804.2
2022-01-01,male,20-24,bumi_other,166.2
2022-01-01,male,20-24,chinese,252.4
2022-01-01,male,20-24,indian,82.1
2022-01-01,male,20-24,other_citizen,11.2
2022-01-01,male,20-24,other_noncitizen,249.4
2022-01-01,male,25-29,overall,1553.9
2022-01-01,male,25-29,bumi_malay,706.6
2022-01-01,male,25-29,bumi_other,165.0
2022-01-01,male,25-29,chinese,245.2
2022-01-01,male,25-29,indian,79.7
2022-01-01,male,25-29,other_citizen,11.1
2022-01-01,male,25-29,other_noncitizen,346.3
2022-01-01,male,30-34,overall,1528.8
2022-01-01,male,30-34,bumi_malay,722.4
2022-01-01,male,30-34,bumi_other,158.1
2022-01-01,male,30-34,chinese,257.4
2022-01-01,male,30-34,indian,83.4
2022-01-01,male,30-34,other_citizen,13.3
2022-01-01,male,30-34,other_noncitizen,294.2
2022-01-01,male,35-39,overall,1464.2
2022-01-01,male,35-39,bumi_malay,723.8
2022-01-01,male,35-39,bumi_other,151.0
2022-01-01,male,35-39,chinese,279.6
2022-01-01,male,35-39,indian,88.0
2022-01-01,male,35-39,other_citizen,12.3
2022-01-01,male,35-39,other_noncitizen,209.5
2022-01-01,male,40-44,overall,1256.6
2022-01-01,male,40-44,bumi_malay,620.2
2022-01-01,male,40-44,bumi_other,122.6
2022-01-01,male,40-44,chinese,286.5
2022-01-01,male,40-44,indian,84.5
2022-01-01,male,40-44,other_citizen,8.2
2022-01-01,male,40-44,other_noncitizen,134.7
2022-01-01,male,45-49,overall,971.9
2022-01-01,male,45-49,bumi_malay,476.2
2022-01-01,male,45-49,bumi_other,97.9
2022-01-01,male,45-49,chinese,249.4
2022-01-01,male,45-49,indian,64.8
2022-01-01,male,45-49,other_citizen,6.1
2022-01-01,male,45-49,other_noncitizen,77.5
2022-01-01,male,50-54,overall,830.2
2022-01-01,male,50-54,bumi_malay,410.8
2022-01-01,male,50-54,bumi_other,89.5
2022-01-01,male,50-54,chinese,229.5
2022-01-01,male,50-54,indian,55.9
2022-01-01,male,50-54,other_citizen,4.6
2022-01-01,male,50-54,other_noncitizen,40.1
2022-01-01,male,55-59,overall,729.2
2022-01-01,male,55-59,bumi_malay,363.6
2022-01-01,male,55-59,bumi_other,77.3
2022-01-01,male,55-59,chinese,209.6
2022-01-01,male,55-59,indian,51.5
2022-01-01,male,55-59,other_citizen,4.1
2022-01-01,male,55-59,other_noncitizen,23.2
2022-01-01,male,60-64,overall,629.7
2022-01-01,male,60-64,bumi_malay,312.1
2022-01-01,male,60-64,bumi_other,63.5
2022-01-01,male,60-64,chinese,192.0
2022-01-01,male,60-64,indian,43.7
2022-01-01,male,60-64,other_citizen,3.5
2022-01-01,male,60-64,other_noncitizen,15.0
2022-01-01,male,65-69,overall,480.5
2022-01-01,male,65-69,bumi_malay,237.5
2022-01-01,male,65-69,bumi_other,51.7
2022-01-01,male,65-69,chinese,131.6
2022-01-01,male,65-69,indian,30.8
2022-01-01,male,65-69,other_citizen,3.2
2022-01-01,male,65-69,other_noncitizen,25.6
