date,sex,age,ethnicity,population
2016-01-01,both,80-84,other_citizen,0.7
2016-01-01,both,80-84,other_noncitizen,5.6
2016-01-01,both,85+,overall,138.7
2016-01-01,both,85+,bumi_malay,63.7
2016-01-01,both,85+,bumi_other,16.5
2016-01-01,both,85+,chinese,41.1
2016-01-01,both,85+,indian,9.1
2016-01-01,both,85+,other_citizen,0.8
2016-01-01,both,85+,other_noncitizen,7.5
2016-01-01,female,overall,overall,15287.2
2016-01-01,female,overall,bumi_malay,7844.0
2016-01-01,female,overall,bumi_other,1818.5
2016-01-01,female,overall,chinese,3232.2
2016-01-01,female,overall,indian,1000.0
2016-01-01,female,overall,other_citizen,136.7
2016-01-01,female,overall,other_noncitizen,1255.7
2016-01-01,female,0-4,overall,1270.4
2016-01-01,female,0-4,bumi_malay,778.9
2016-01-01,female,0-4,bumi_other,161.6
2016-01-01,female,0-4,chinese,178.4
2016-01-01,female,0-4,indian,58.3
2016-01-01,female,0-4,other_citizen,21.0
2016-01-01,female,0-4,other_noncitizen,72.1
2016-01-01,female,5-9,overall,1218.1
2016-01-01,female,5-9,bumi_malay,709.5
2016-01-01,female,5-9,bumi_other,179.1
2016-01-01,female,5-9,chinese,200.4
2016-01-01,female,5-9,indian,71.9
2016-01-01,female,5-9,other_citizen,18.8
2016-01-01,female,5-9,other_noncitizen,38.5
2016-01-01,female,10-14,overall,1273.1
2016-01-01,female,10-14,bumi_malay,730.7
2016-01-01,female,10-14,bumi_other,187.9
2016-01-01,female,10-14,chinese,231.8
2016-01-01,female,10-14,indian,80.6
2016-01-01,female,10-14,other_citizen,15.0
2016-01-01,female,10-14,other_noncitizen,27.0
2016-01-01,female,15-19,overall,1381.0
2016-01-01,female,15-19,bumi_malay,737.2
2016-01-01,female,15-19,bumi_other,183.2
2016-01-01,female,15-19,chinese,252.3
2016-01-01,female,15-19,indian,85.1
2016-01-01,female,15-19,other_citizen,13.2
2016-01-01,female,15-19,other_noncitizen,110.0
2016-01-01,female,20-24,overall,1540.8
2016-01-01,female,20-24,bumi_malay,745.8
2016-01-01,female,20-24,bumi_other,187.0
2016-01-01,female,20-24,chinese,264.3
2016-01-01,female,20-24,indian,89.2
2016-01-01,female,20-24,other_citizen,12.7
2016-01-01,female,20-24,other_noncitizen,241.8
2016-01-01,female,25-29,overall,1487.4
2016-01-01,female,25-29,bumi_malay,713.0
2016-01-01,female,25-29,bumi_other,167.7
2016-01-01,female,25-29,chinese,267.1
2016-01-01,female,25-29,indian,88.6
2016-01-01,female,25-29,other_citizen,11.9
2016-01-01,female,25-29,other_noncitizen,239.1
2016-01-01,female,30-34,overall,1324.2
2016-01-01,female,30-34,bumi_malay,645.0
2016-01-01,female,30-34,bumi_other,155.8
2016-01-01,female,30-34,chinese,265.8
2016-01-01,female,30-34,indian,87.7
2016-01-01,female,30-34,other_citizen,10.1
2016-01-01,female,30-34,other_noncitizen,159.6
2016-01-01,female,35-39,overall,1057.3
2016-01-01,female,35-39,bumi_malay,497.6
2016-01-01,female,35-39,bumi_other,116.3
2016-01-01,female,35-39,chinese,235.0
2016-01-01,female,35-39,indian,74.5
2016-01-01,female,35-39,other_citizen,7.3
2016-01-01,female,35-39,other_noncitizen,126.5
2016-01-01,female,40-44,overall,930.7
2016-01-01,female,40-44,bumi_malay,440.2
2016-01-01,female,40-44,bumi_other,104.2
2016-01-01,female,40-44,chinese,223.2
2016-01-01,female,40-44,indian,66.4
2016-01-01,female,40-44,other_citizen,5.7
2016-01-01,female,40-44,other_noncitizen,90.9
2016-01-01,female,45-49,overall,867.7
2016-01-01,female,45-49,bumi_malay,419.9
2016-01-01,female,45-49,bumi_other,94.7
2016-01-01,female,45-49,chinese,226.8
2016-01-01,female,45-49,indian,66.1
2016-01-01,female,45-49,other_citizen,5.3
2016-01-01,female,45-49,other_noncitizen,54.8
2016-01-01,female,50-54,overall,773.0
2016-01-01,female,50-54,bumi_malay,380.1
2016-01-01,female,50-54,bumi_other,81.7
2016-01-01,female,50-54,chinese,208.3
2016-01-01,female,50-54,indian,62.2
2016-01-01,female,50-54,other_citizen,4.7
2016-01-01,female,50-54,other_noncitizen,36.1
2016-01-01,female,55-59,overall,660.4
2016-01-01,female,55-59,bumi_malay,326.7
2016-01-01,female,55-59,bumi_other,65.3
2016-01-01,female,55-59,chinese,186.8
2016-01-01,female,55-59,indian,55.6
2016-01-01,female,55-59,other_citizen,3.8
2016-01-01,female,55-59,other_noncitizen,22.2
2016-01-01,female,60-64,overall,517.6
2016-01-01,female,60-64,bumi_malay,256.5
2016-01-01,female,60-64,bumi_other,44.8
2016-01-01,female,60-64,chinese,157.3
2016-01-01,female,60-64,indian,42.1
2016-01-01,female,60-64,other_citizen,2.6
2016-01-01,female,60-64,other_noncitizen,14.2
2016-01-01,female,65-69,overall,397.0
2016-01-01,female,65-69,bumi_malay,189.9
2016-01-01,female,65-69,bumi_other,32.6
2016-01-01,female,65-69,chinese,131.6
2016-01-01,female,65-69,indian,31.7
2016-01-01,female,65-69,other_citizen,1.8
2016-01-01,female,65-69,other_noncitizen,9.4
2016-01-01,female,70-74,overall,251.7
2016-01-01,female,70-74,bumi_malay,116.8
2016-01-01,female,70-74,bumi_other,23.8
2016-01-01,female,70-74,chinese,88.0
2016-01-01,female,70-74,indian,17.3
2016-01-01,female,70-74,other_citizen,1.2
2016-01-01,female,70-74,other_noncitizen,4.6
2016-01-01,female,75-79,overall,174.4
2016-01-01,female,75-79,bumi_malay,81.4
2016-01-01,female,75-79,bumi_other,15.3
2016-01-01,female,75-79,chinese,62.5
2016-01-01,female,75-79,indian,11.2
2016-01-01,female,75-79,other_citizen,0.7
2016-01-01,female,75-79,other_noncitizen,3.3
2016-01-01,female,80-84,overall,89.2
2016-01-01,female,80-84,bumi_malay,39.1
2016-01-01,female,80-84,bumi_other,9.0
2016-01-01,female,80-84,chinese,32.0
2016-01-01,female,80-84,indian,6.4
2016-01-01,female,80-84,other_citizen,0.3
2016-01-01,female,80-84,other_noncitizen,2.5
